treatment,test_mode,problem,uses_cohorts,solutions_found,total_runs,min_solution_size
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,for-loop-index,1,19,50,10
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,for-loop-index,1,3,50,17
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,for-loop-index,1,3,50,5
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,for-loop-index,1,24,50,10
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,for-loop-index,1,17,50,11
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,for-loop-index,1,15,50,10
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,for-loop-index,1,14,50,15
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,for-loop-index,1,21,50,11
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,for-loop-index,1,22,50,10
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,for-loop-index,1,26,50,10
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,for-loop-index,1,12,50,11
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,for-loop-index,1,26,50,10
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,for-loop-index,1,16,50,10
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,for-loop-index,1,27,50,10
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,for-loop-index,1,22,50,11
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,for-loop-index,1,19,50,10
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,3,50,6
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,3,50,10
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,3,50,12
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,2,50,5
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,2,50,8
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,2,50,21
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,3,50,14
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,for-loop-index,1,3,50,12
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,for-loop-index,1,3,50,5
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,for-loop-index,1,2,50,15
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,for-loop-index,1,3,50,12
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,for-loop-index,1,3,50,13
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,for-loop-index,1,1,50,6
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,for-loop-index,1,2,50,9
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,for-loop-index,1,5,50,10
PROBLEM_median__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,median,1,0,50,NONE
PROBLEM_median__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,median,1,32,50,10
PROBLEM_median__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,median,1,41,50,10
PROBLEM_median__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,median,1,0,50,NONE
PROBLEM_median__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,median,1,38,50,11
PROBLEM_median__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,median,1,24,50,10
PROBLEM_median__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,median,1,39,50,10
PROBLEM_median__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,median,1,4,50,19
PROBLEM_median__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,median,1,36,50,10
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,median,1,0,50,NONE
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,median,1,39,50,11
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,median,1,0,50,NONE
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,median,1,43,50,10
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,median,1,37,50,10
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,median,1,41,50,11
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,median,1,20,50,10
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,median,1,38,50,10
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,median,1,11,50,13
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,median,1,38,50,10
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,median,1,0,50,NONE
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,median,1,45,50,10
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,median,1,30,50,10
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,median,1,39,50,11
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,median,1,29,50,10
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,median,1,34,50,10
PROBLEM_median__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,median,1,38,50,10
PROBLEM_median__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,median,1,39,50,10
PROBLEM_median__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,median,1,20,50,10
PROBLEM_median__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,median,1,39,50,10
PROBLEM_median__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,median,1,44,50,10
PROBLEM_median__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,median,1,39,50,11
PROBLEM_median__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,median,1,42,50,10
PROBLEM_median__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,median,1,41,50,10
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,small-or-large,1,1,50,30
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,small-or-large,1,15,50,14
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,small-or-large,1,9,50,14
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,small-or-large,1,6,50,16
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,small-or-large,1,3,50,13
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,10,50,11
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,7,50,11
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,2,50,18
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,1,50,11
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,7,50,16
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,1,50,14
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,14,50,12
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,2,50,23
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,13,50,16
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,1,50,23
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,17,50,13
PROBLEM_small-or-large__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,small-or-large,1,3,50,26
PROBLEM_small-or-large__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,small-or-large,1,15,50,14
PROBLEM_small-or-large__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,small-or-large,1,18,50,14
PROBLEM_small-or-large__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,small-or-large,1,10,50,12
PROBLEM_small-or-large__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,small-or-large,1,15,50,15
PROBLEM_small-or-large__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,small-or-large,1,5,50,16
PROBLEM_small-or-large__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,small-or-large,1,13,50,14
PROBLEM_smallest__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,smallest,1,4,50,12
PROBLEM_smallest__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,smallest,1,38,50,10
PROBLEM_smallest__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,smallest,1,43,50,10
PROBLEM_smallest__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,smallest,1,45,50,10
PROBLEM_smallest__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,smallest,1,31,50,10
PROBLEM_smallest__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,smallest,1,43,50,10
PROBLEM_smallest__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,smallest,1,12,50,10
PROBLEM_smallest__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,smallest,1,34,50,10
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,smallest,1,42,50,10
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,smallest,1,48,50,10
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,smallest,1,39,50,10
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,smallest,1,42,50,10
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,smallest,1,33,50,10
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,smallest,1,40,50,10
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,smallest,1,28,50,11
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,smallest,1,39,50,11
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,smallest,1,16,50,10
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,smallest,1,44,50,10
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,smallest,1,37,50,10
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,smallest,1,45,50,10
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,smallest,1,34,50,10
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,smallest,1,38,50,10
PROBLEM_smallest__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,smallest,1,37,50,10
PROBLEM_smallest__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,smallest,1,46,50,10
PROBLEM_smallest__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,smallest,1,19,50,11
PROBLEM_smallest__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,smallest,1,43,50,10
PROBLEM_smallest__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,smallest,1,44,50,10
PROBLEM_smallest__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,smallest,1,38,50,10
PROBLEM_smallest__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,smallest,1,40,50,10
PROBLEM_smallest__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,smallest,1,46,50,10
PROBLEM_sum-of-squares__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,sum-of-squares,1,0,50,NONE
PROBLEM_sum-of-squares__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,sum-of-squares,1,7,50,12
PROBLEM_sum-of-squares__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,sum-of-squares,1,6,50,34
PROBLEM_sum-of-squares__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,sum-of-squares,1,0,50,NONE
PROBLEM_sum-of-squares__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,sum-of-squares,1,3,50,11
PROBLEM_sum-of-squares__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,sum-of-squares,1,6,50,17
PROBLEM_sum-of-squares__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,sum-of-squares,1,3,50,34
PROBLEM_sum-of-squares__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,sum-of-squares,1,0,50,NONE
PROBLEM_sum-of-squares__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,sum-of-squares,1,3,50,5
PROBLEM_sum-of-squares__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,sum-of-squares,1,4,50,26
PROBLEM_sum-of-squares__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,sum-of-squares,1,2,50,5
PROBLEM_sum-of-squares__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,sum-of-squares,1,0,50,NONE
PROBLEM_sum-of-squares__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,sum-of-squares,1,6,50,11
PROBLEM_sum-of-squares__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,sum-of-squares,1,7,50,14
PROBLEM_sum-of-squares__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,sum-of-squares,1,5,49,19
PROBLEM_sum-of-squares__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,sum-of-squares,1,2,50,22
PROBLEM_sum-of-squares__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,sum-of-squares,1,3,50,24
PROBLEM_sum-of-squares__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,sum-of-squares,1,2,50,6
PROBLEM_sum-of-squares__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,sum-of-squares,1,4,50,19
PROBLEM_sum-of-squares__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,sum-of-squares,1,2,50,5
PROBLEM_sum-of-squares__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,sum-of-squares,1,4,50,5
PROBLEM_sum-of-squares__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,sum-of-squares,1,5,50,5
PROBLEM_sum-of-squares__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,sum-of-squares,1,9,50,10
PROBLEM_sum-of-squares__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,sum-of-squares,1,7,50,10
PROBLEM_sum-of-squares__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,sum-of-squares,1,5,50,18
PROBLEM_sum-of-squares__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,sum-of-squares,1,7,50,10
PROBLEM_sum-of-squares__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,sum-of-squares,1,4,50,100
PROBLEM_sum-of-squares__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,sum-of-squares,1,1,50,10
PROBLEM_sum-of-squares__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,sum-of-squares,1,2,50,19
PROBLEM_sum-of-squares__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,sum-of-squares,1,4,50,10
