treatment,test_mode,problem,uses_cohorts,solutions_found,total_runs,min_solution_size
PROBLEM_median__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,median,1,10,50,10
PROBLEM_median__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,median,1,25,50,11
PROBLEM_median__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,median,1,0,50,NONE
PROBLEM_median__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,median,1,27,50,12
PROBLEM_median__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,median,1,6,50,11
PROBLEM_median__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,median,1,21,50,12
PROBLEM_median__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,median,1,1,50,41
PROBLEM_median__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,median,1,14,50,10
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,median,1,0,50,NONE
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,median,1,21,50,11
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,median,1,0,50,NONE
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,median,1,35,50,10
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,median,1,17,50,11
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,median,1,27,50,12
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,median,1,1,50,40
PROBLEM_median__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,median,1,18,50,12
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,median,1,0,50,NONE
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,median,1,20,50,12
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,median,1,0,50,NONE
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,median,1,33,50,10
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,median,1,6,50,14
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,median,1,21,50,12
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,median,1,9,50,10
PROBLEM_median__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,median,1,15,50,10
PROBLEM_median__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,median,1,22,50,11
PROBLEM_median__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,median,1,27,50,13
PROBLEM_median__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,median,1,4,50,13
PROBLEM_median__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,median,1,29,50,10
PROBLEM_median__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,median,1,25,50,10
PROBLEM_median__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,median,1,25,50,10
PROBLEM_median__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,median,1,28,50,12
PROBLEM_median__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,median,1,31,50,13
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,small-or-large,1,2,50,30
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,small-or-large,1,1,50,15
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,3,50,28
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,3,50,27
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,small-or-large,1,3,50,26
PROBLEM_small-or-large__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,small-or-large,1,2,50,29
PROBLEM_small-or-large__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,small-or-large,1,2,50,20
PROBLEM_small-or-large__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,small-or-large,1,1,50,36
PROBLEM_small-or-large__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,small-or-large,1,0,50,NONE
PROBLEM_small-or-large__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,small-or-large,1,1,50,34
PROBLEM_smallest__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,smallest,1,11,50,11
PROBLEM_smallest__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,smallest,1,28,50,11
PROBLEM_smallest__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,smallest,1,24,50,10
PROBLEM_smallest__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,smallest,1,10,50,11
PROBLEM_smallest__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,smallest,1,25,50,11
PROBLEM_smallest__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,smallest,1,14,50,11
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,smallest,1,11,50,10
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,smallest,1,34,50,10
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,smallest,1,11,50,10
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,smallest,1,23,50,10
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,smallest,1,7,50,10
PROBLEM_smallest__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,smallest,1,23,50,11
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,smallest,1,6,50,14
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,smallest,1,15,50,10
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,smallest,1,2,50,19
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,smallest,1,29,50,10
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,smallest,1,12,50,10
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,smallest,1,20,50,10
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,smallest,1,7,50,11
PROBLEM_smallest__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,smallest,1,16,50,10
PROBLEM_smallest__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,smallest,1,13,50,11
PROBLEM_smallest__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,smallest,1,28,50,10
PROBLEM_smallest__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,smallest,1,2,50,17
PROBLEM_smallest__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,smallest,1,29,50,10
PROBLEM_smallest__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,smallest,1,28,50,10
PROBLEM_smallest__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,smallest,1,25,50,10
PROBLEM_smallest__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,smallest,1,19,50,10
PROBLEM_smallest__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,smallest,1,27,50,10
